stage_id	stage_name	is_adult
HsapDv:0000001	Human developmental stage	0
HsapDv:0000002	embryonic stage	0
HsapDv:0000003	Carnegie stage 01	0
HsapDv:0000004	cleavage stage	0
HsapDv:0000005	Carnegie stage 02	0
HsapDv:0000006	blastula stage	0
HsapDv:0000007	Carnegie stage 03	0
HsapDv:0000008	Carnegie stage 04	0
HsapDv:0000009	Carnegie stage 05	0
HsapDv:0000010	gastrula stage	0
HsapDv:0000011	Carnegie stage 06	0
HsapDv:0000012	neurula stage	0
HsapDv:0000013	Carnegie stage 07	0
HsapDv:0000014	Carnegie stage 08	0
HsapDv:0000015	organogenesis stage	0
HsapDv:0000016	Carnegie stage 09	0
HsapDv:0000017	Carnegie stage 10	0
HsapDv:0000018	Carnegie stage 11	0
HsapDv:0000019	Carnegie stage 12	0
HsapDv:0000020	Carnegie stage 13	0
HsapDv:0000021	Carnegie stage 14	0
HsapDv:0000022	Carnegie stage 15	0
HsapDv:0000023	Carnegie stage 16	0
HsapDv:0000024	Carnegie stage 17	0
HsapDv:0000025	Carnegie stage 18	0
HsapDv:0000026	Carnegie stage 19	0
HsapDv:0000027	Carnegie stage 20	0
HsapDv:0000028	Carnegie stage 21	0
HsapDv:0000029	Carnegie stage 22	0
HsapDv:0000030	Carnegie stage 23	0
HsapDv:0000031	Carnegie stage 05a	0
HsapDv:0000032	Carnegie stage 05b	0
HsapDv:0000033	Carnegie stage 05c	0
HsapDv:0000034	Carnegie stage 06a	0
HsapDv:0000035	Carnegie stage 06b	0
HsapDv:0000037	fetal stage	0
HsapDv:0000045	prenatal stage	0
HsapDv:0000046	9th week post-fertilization	0
HsapDv:0000047	10th week post-fertilization	0
HsapDv:0000048	11th week post-fertilization	0
HsapDv:0000049	12th week post-fertilization	0
HsapDv:0000050	13th week post-fertilization	0
HsapDv:0000051	14th week post-fertilization	0
HsapDv:0000052	15th week post-fertilization	0
HsapDv:0000053	16th week post-fertilization	0
HsapDv:0000054	17th week post-fertilization	0
HsapDv:0000055	18th week post-fertilization	0
HsapDv:0000056	19th week post-fertilization	0
HsapDv:0000057	20th week post-fertilization	0
HsapDv:0000058	21st week post-fertilization	0
HsapDv:0000059	22nd week post-fertilization	0
HsapDv:0000060	23rd week post-fertilization	0
HsapDv:0000061	24th week post-fertilization	0
HsapDv:0000062	25th week post-fertilization	0
HsapDv:0000063	26th week post-fertilization	0
HsapDv:0000064	27th week post-fertilization	0
HsapDv:0000065	28th week post-fertilization	0
HsapDv:0000066	29th week post-fertilization	0
HsapDv:0000067	30th week post-fertilization	0
HsapDv:0000068	31st week post-fertilization	0
HsapDv:0000069	32nd week post-fertilization	0
HsapDv:0000070	33rd week post-fertilization	0
HsapDv:0000071	34th week post-fertilization	0
HsapDv:0000072	35th week post-fertilization	0
HsapDv:0000073	36th week post-fertilization	0
HsapDv:0000074	37th week post-fertilization	0
HsapDv:0000075	38th week post-fertilization and over	0
HsapDv:0000080	immature stage	0
HsapDv:0000081	child stage	0
HsapDv:0000082	newborn stage	0
HsapDv:0000083	infant stage	0
HsapDv:0000084	2-5 year-old child stage	0
HsapDv:0000085	6-12 year-old child stage	0
HsapDv:0000086	adolescent stage	0
HsapDv:0000087	adult stage	1
